loan_id,application_id,user_id,disbursement_date,disbursement_amount,loan_status,due_date,loan_amount,loan_term,offer_age,max_offer,last_payment_date,FPD0,FPD3,FPD7,FPD15,FPD30,total_to_repay,days_late_last_payment,previous_loan_maturity,previous_loan_amount_national_currency,declared_revenue_national_currency,users_with_same_android_id,previous_loans,client_type,professional_status,professional_category,professional_subcategory,gender,age_year,education,marital_status,state,salary_date,requested_amount,apollo_cb_score,acquisition_channel,score_internal,TS_credit_insight
2380603,9715643,8103825,01/09/2020 00:00,900,unpaid,01/10/2020 00:00,1000,30,0,1000,,1,1,1,1,1,1020,-2,15,750,14747,1,1,returning,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1988,Secondary,Married,West Bengal,10,,,Organic,,
2413829,9815930,8120898,08/09/2020 00:00,900,partly_paid,08/10/2020 00:00,1000,30,1,1000,06/11/2020,1,1,1,1,1,1020,-11,30,1000,20000,1,2,returning,Work in the private sector,Agency/Contract workers,"Marketing, Sales",Male,1991,Graduate,Single,Uttar Pradesh,7,,"""660-669""",Organic,,642
2446065,9933202,8638078,16/09/2020 00:00,675,unpaid,01/10/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,22000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Female,1978,Graduate,Married,Delhi,16,10000,"""680-689""",Organic,0.392227,
2397011,9764268,8273137,04/09/2020 00:00,675,unpaid,21/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,30000,1,0,new,Self-employed,Professionals,Corporate services,Male,1990,Graduate,Single,Bihar,0,,"""720-729""",Organic,0.375109,
2665955,10639195,8362853,29/10/2020 00:00,900,unpaid,30/11/2020 00:00,1000,30,1,1000,,,,,,,1020,-11,15,750,15150,1,1,returning,Work in the private sector,Professionals,"Information, Technology",Male,1989,Graduate,Married,Telangana,10,5000,"""630-639""",Organic,,569
2397004,9763907,8402489,04/09/2020 00:00,900,unpaid,21/09/2020 00:00,1000,15,1,1000,,1,1,1,1,1,1010,-12,15,750,25000,1,1,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Female,1985,Graduate,Married,Maharashtra,0,,"""below 600""",Organic,,488
2514894,10147634,8262141,30/09/2020 00:00,900,partly_paid,30/10/2020 00:00,1000,30,1,1000,05/11/2020,1,1,1,,,1020,-26,30,1000,20000,1,2,returning,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1997,Graduate,Married,Andhra Pradesh,10,5000,"""630-639""",Organic,,
2665954,10639024,8913473,29/10/2020 00:00,900,unpaid,30/11/2020 00:00,1000,30,1,1000,,,,,,,1020,-27,30,1000,35000,1,2,returning,Self-employed,Professionals,Teaching,Male,1990,Graduate,Single,Jharkhand,0,50000,"""730-739""",Organic,,
2605068,10419977,9125302,16/10/2020 00:00,675,unpaid,02/11/2020 00:00,750,15,1,750,,1,1,1,,,760,,,,21300,1,0,new,Work in the private sector,Professionals,Teaching,Male,1986,Post-?graduate,Married,Rajasthan,2,5000,"""670-679""",Organic,,
2422318,9851031,8543308,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,27500,1,0,new,Work in the private sector,Agency/Contract workers,"Marketing, Sales",Male,1998,Graduate,Married,Gujarat,3,10000,"""640-649""",Organic,0.490401,
2465522,10004879,8201347,21/09/2020 00:00,900,unpaid,21/10/2020 00:00,1000,30,1,1000,,1,1,1,1,,1020,-3,15,750,24000,1,1,returning,Work in the private sector,"Sales, Shop, Restaurant",Other,Male,1980,Post-?graduate,Married,Maharashtra,7,5000,"""650-659""",Facebook,,443
2509185,10105195,8706626,29/09/2020 00:00,675,unpaid,14/10/2020 00:00,750,15,2,750,,1,1,1,1,,760,,,,25000,1,0,new,Self-employed,Other,--,Male,1997,Graduate,Single,Telangana,6,28000,"""760-769""",Organic,,611
2321728,9509017,8195915,19/08/2020 00:00,675,unpaid,03/09/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,20000,1,0,new,Civil/Public servant,Other,--,Male,1990,Graduate,Married,Uttar Pradesh,1,,,Facebook,,579
2325936,9518774,8088413,20/08/2020 00:00,900,unpaid,21/09/2020 00:00,1000,30,1,1000,,1,1,1,1,1,1020,-6,15,750,25800,1,1,returning,Civil/Public servant,Professionals,Teaching,Male,1991,Graduate,Single,Odisha,31,,,Organic,,
2302791,9447705,8135077,14/08/2020 00:00,675,partly_paid,31/08/2020 00:00,750,15,1,750,15/08/2020,1,1,1,1,1,760,,,,15000,1,0,new,Work in the private sector,"Sales, Shop, Restaurant",Cashier,Male,1993,Graduate,Married,Andhra Pradesh,30,,,Organic,,
2298655,9435947,8123380,13/08/2020 00:00,675,unpaid,28/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,25000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1996,Post-?graduate,Single,Telangana,0,,,Organic,,671
2624432,10484696,8081204,20/10/2020 00:00,900,unpaid,19/11/2020 00:00,1000,30,0,1000,,,,,,,1020,-1,30,1000,35000,1,2,returning,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1987,Post-?graduate,Married,Madhya Pradesh,0,5000,"""730-739""",Organic,,677
2374556,9669066,8226102,31/08/2020 00:00,675,unpaid,15/09/2020 00:00,750,15,2,750,,1,1,1,1,1,760,,,,25000,1,0,new,Work in the private sector,Agency/Contract workers,"Information, Technology",Male,1993,Post-?graduate,Married,Andhra Pradesh,1,,,Organic,,
2422315,9851007,8332146,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,47000,1,0,new,Work in the private sector,Professionals,Corporate services,Male,1982,Post-?graduate,Married,Maharashtra,5,5000,"""650-659""",Organic,0.4631,
2294642,9417347,8105391,12/08/2020 00:00,675,unpaid,27/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,25000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Female,1989,Secondary,Married,Andhra Pradesh,0,,,Organic,,498
2422361,9852708,8545087,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,1700,1,0,new,Work in the private sector,Other,--,Male,1983,Secondary,Married,Rajasthan,17,200000,"""710-719""",Organic,0.328148,
2605076,10420996,8638512,16/10/2020 00:00,900,unpaid,02/11/2020 00:00,1000,15,1,1000,,1,1,1,,,1010,-10,15,1000,52700,1,2,returning,Work in the private sector,Religious Organization,"Admin, Support",Male,1994,Post-?graduate,Single,Maharashtra,16,200000,"""690-699""",Email,,542
2391978,9746505,8436665,03/09/2020 00:00,675,unpaid,18/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,30000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1999,Secondary,Single,Delhi,0,,"""680-689""",Facebook,0.38038,
2272264,9357381,8055006,06/08/2020 00:00,675,unpaid,21/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,25000,2,0,new,Work in the private sector,"Sales, Shop, Restaurant","Street, Market Sales",Female,1994,Graduate,Single,Andhra Pradesh,1,,,Organic,,
2294624,9422346,8110764,12/08/2020 00:00,675,unpaid,27/08/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,14000,1,0,new,Work in the private sector,Professionals,"Marketing, Sales",Male,1997,Graduate,Single,Telangana,5,,,Organic,,
2418227,9836636,8527844,09/09/2020 00:00,675,unpaid,24/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,25000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1994,Secondary,Single,West Bengal,0,15000,"""NTC""",Facebook,0.415156,
2303609,9448848,8136157,14/08/2020 00:00,675,unpaid,31/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,25000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1991,Post-?graduate,Married,Uttar Pradesh,0,,,undisclosed,,620
2422336,9852265,8544571,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,15400,1,0,new,Self-employed,"Sales, Shop, Restaurant",Restaurant,Male,1995,Graduate,Married,Rajasthan,0,,"""710-719""",Organic,0.451638,
2441668,9919673,8454818,15/09/2020 00:00,675,unpaid,30/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,22500,1,0,new,Work in the private sector,"Sales, Shop, Restaurant","Street, Market Sales",Male,1981,Graduate,Married,Chhattisgarh,6,25000,"""680-689""",Organic,0.230701,
2522835,10155043,8900676,01/10/2020 00:00,675,unpaid,16/10/2020 00:00,750,15,1,750,,1,1,1,1,,760,,,,15000,2,0,new,Work in the private sector,Agency/Contract workers,Other,Male,1994,Secondary,Married,Jharkhand,8,5000,"""610-619""",Organic,0.472996,
2272279,9356711,8054610,06/08/2020 00:00,675,unpaid,21/08/2020 00:00,750,15,0,750,,1,1,1,1,1,760,,,,22780,1,0,new,Work in the private sector,Professionals,"Marketing, Sales",Male,1997,Post-?graduate,Single,Rajasthan,31,,,Organic,,
2422339,9847862,8539734,10/09/2020 00:00,675,unpaid,25/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,15000,1,0,new,Work in the private sector,Other,--,Male,1998,Secondary,Single,Uttar Pradesh,1,10000,"""620-629""",Organic,0.498437,
2391960,9746387,8436559,03/09/2020 00:00,675,unpaid,18/09/2020 00:00,750,15,1,750,,1,1,1,1,1,760,,,,15000,1,0,new,Self-employed,"Sales, Shop, Restaurant",Shop owner,Male,1992,Graduate,Married,Rajasthan,0,,"""650-659""",Facebook,0.456732,
